Section,Subsection,Name,Cost (MiB),Description
science,nanoscale-physics,bigdft,N/A,N/A
science,nanoscale-physics,binoculars,210,Surface X-ray diffraction 2D detector data reduction
science,nanoscale-physics,cadabra,650,field-theory motivated computer algebra system
science,nanoscale-physics,cbflib-bin,2,utilities to manipulate CBF files
science,nanoscale-physics,cod-tools,19,tools for manipulating CIF format files
science,nanoscale-physics,cp2k,47,Ab Initio Molecular Dynamics
science,nanoscale-physics,drawxtl,3,crystal structure viewer
science,nanoscale-physics,dx,12,OpenDX (IBM Visualization Data Explorer) - main package
science,nanoscale-physics,dx-doc,11,OpenDX (IBM Visualization Data Explorer) - documentation
science,nanoscale-physics,dxsamples,6,Sample programs for the OpenDX Data Explorer
science,nanoscale-physics,etsf-io,2,"Binary tools to check, merge and read ETSF files"
science,nanoscale-physics,exciting,N/A,N/A
science,nanoscale-physics,extrema,N/A,N/A
science,nanoscale-physics,fdmnes,N/A,N/A
science,nanoscale-physics,feel++-apps,N/A,N/A
science,nanoscale-physics,feynmf,160,set of LaTeX macros for creating Feynman diagrams
science,nanoscale-physics,fityk,7,general-purpose nonlinear curve fitting and data analysis
science,nanoscale-physics,garlic,1,visualization program for biomolecules
science,nanoscale-physics,gdis,2,molecular and crystal model viewer
science,nanoscale-physics,ggobi,3,Data visualization system for high-dimensional data
science,nanoscale-physics,ghemical,23,GNOME molecular modelling environment
science,nanoscale-physics,gnuplot,7,Command-line driven interactive plotting program.
science,nanoscale-physics,gpaw,96,DFT and beyond within the projector-augmented wave method
science,nanoscale-physics,gperiodic,1,periodic table application
science,nanoscale-physics,gpiv,N/A,N/A
science,nanoscale-physics,gpivtools,N/A,N/A
science,nanoscale-physics,grace,9,XY graphing and plotting tool
science,nanoscale-physics,graphviz,3,rich set of graph drawing tools
science,nanoscale-physics,gsl-bin,2,GNU Scientific Library (GSL) -- binary package
science,nanoscale-physics,gwyddion,5,Scanning Probe Microscopy visualization and analysis tool
science,nanoscale-physics,hdf5-helpers,1,HDF5 - Helper tools
science,nanoscale-physics,hdf5-tools,2,HDF5 - Runtime tools
science,nanoscale-physics,libblas3,0,"Basic Linear Algebra Reference implementations, shared library"
science,nanoscale-physics,libgraphviz-perl,12,Perl interface to the GraphViz graphing tool
science,nanoscale-physics,libgsl0ldbl,N/A,N/A
science,nanoscale-physics,liblapack3,0,Library of linear algebra routines 3 - shared version
science,nanoscale-physics,liblevmar-2-6,N/A,N/A
science,nanoscale-physics,libssm-bin,1,macromolecular superposition library - binaries
science,nanoscale-physics,maxima,7,Computer algebra system -- base system
science,nanoscale-physics,mayavi2,ERROR,scientific visualization package for 2-D and 3-D data
science,nanoscale-physics,mpich,4,Implementation of the MPI Message Passing Interface standard
science,nanoscale-physics,mpich-doc,1,Documentation for MPICH
science,nanoscale-physics,mpqc,17,Massively Parallel Quantum Chemistry Program
science,nanoscale-physics,nco,5,Command-line operators to analyze netCDF files
science,nanoscale-physics,ncview,3,X11 visual browser for NetCDF format files
science,nanoscale-physics,netcdf-bin,2,Programs for reading and writing NetCDF files
science,nanoscale-physics,netcdf-doc,3,Documentation for NetCDF
science,nanoscale-physics,octave,ERROR,GNU Octave language for numerical computations
science,nanoscale-physics,octaviz,N/A,N/A
science,nanoscale-physics,octopus,N/A,N/A
science,nanoscale-physics,openmpi-bin,7,high performance message passing library -- binaries
science,nanoscale-physics,openmpi-doc,1,high performance message passing library -- man pages
science,nanoscale-physics,openmx,N/A,N/A
science,nanoscale-physics,psi3,6,Quantum Chemical Program Suite
science,nanoscale-physics,pymca,ERROR,Applications and toolkit for X-ray fluorescence analysis -- scripts
science,nanoscale-physics,python3-lmfit,16,Least-Squares Minimization with Constraints (Python 3)
science,nanoscale-physics,python3-pygraphviz,3,Python interface to the Graphviz graph layout and visualization package (Python 3)
science,nanoscale-physics,python3-scipy,15,scientific tools for Python 3
science,nanoscale-physics,python3-sympy,5,Computer Algebra System (CAS) in Python (Python 3)
science,nanoscale-physics,pyxplot,85,data plotting program producing publication-quality output
science,nanoscale-physics,qtiplot,N/A,N/A
science,nanoscale-physics,quantum-espresso,55,Electronic-Structure and Ab-Initio Molecular Dynamics Suite
science,nanoscale-physics,sasview,140,Small Angle Scattering Analysis suite
science,nanoscale-physics,scidavis,N/A,N/A
science,nanoscale-physics,science-mathematics,1,Debian Science Mathematics packages
science,nanoscale-physics,science-statistics,1,Debian Science Statistics packages
science,nanoscale-physics,scilab,160,Scientific software package for numerical computations
science,nanoscale-physics,udav,12,library for scientific graphs (window interface)
science,nanoscale-physics,v-sim,2,Visualize atomic structures
science,nanoscale-physics,wannier90-1,N/A,N/A
science,nanoscale-physics,wannier90-2,N/A,N/A
science,neuroscience-cognitive,afni,N/A,N/A
science,neuroscience-cognitive,amide,8,software for Medical Imaging
science,neuroscience-cognitive,bioimagesuite,N/A,N/A
science,neuroscience-cognitive,brainvisa,N/A,N/A
science,neuroscience-cognitive,caret,N/A,N/A
science,neuroscience-cognitive,connectomeviewer,N/A,N/A
science,neuroscience-cognitive,debruijn,N/A,N/A
science,neuroscience-cognitive,dicom3tools,8,DICOM medical image files manipulation and conversion tools
science,neuroscience-cognitive,dicomnifti,1,converts DICOM files into the NIfTI format
science,neuroscience-cognitive,eeglab,N/A,N/A
science,neuroscience-cognitive,fieldtrip,N/A,N/A
science,neuroscience-cognitive,freesurfer,N/A,N/A
science,neuroscience-cognitive,fsl,N/A,N/A
science,neuroscience-cognitive,fslview,N/A,N/A
science,neuroscience-cognitive,hid,N/A,N/A
science,neuroscience-cognitive,iqr,N/A,N/A
science,neuroscience-cognitive,itksnap,37,semi-automatic segmentation of structures in 3D images
science,neuroscience-cognitive,lipsia,N/A,N/A
science,neuroscience-cognitive,medcon,1,"Medical Image (DICOM, ECAT, ...) conversion tool"
science,neuroscience-cognitive,minc-tools,14,MNI medical image format tools
science,neuroscience-cognitive,mni-autoreg,N/A,N/A
science,neuroscience-cognitive,mni-n3,N/A,N/A
science,neuroscience-cognitive,mriconvert,7,medical image file conversion utility
science,neuroscience-cognitive,mricron,4,"magnetic resonance image conversion, viewing and analysis"
science,neuroscience-cognitive,nifti-bin,1,tools shipped with the NIfTI library
science,neuroscience-cognitive,nifti2dicom,10,convert 3D medical images to DICOM 2D series
science,neuroscience-cognitive,openmeeg-tools,N/A,N/A
science,neuroscience-cognitive,openwalnut-qt4,N/A,N/A
science,neuroscience-cognitive,praat,14,program for speech analysis and synthesis
science,neuroscience-cognitive,psignifit,1,Fitting and testing hypotheses about psychometric functions
science,neuroscience-cognitive,pysurfer,N/A,N/A
science,neuroscience-cognitive,python3-nibabel,18,Python3 bindings to various neuroimaging data formats
science,neuroscience-cognitive,python3-pydicom,27,DICOM medical file reading and writing (Python 3)
science,neuroscience-cognitive,python3-statsmodels,ERROR,Python3 module for the estimation of statistical models
science,neuroscience-cognitive,qnifti2dicom,67,convert 3D medical images to DICOM 2D series (gui)
science,neuroscience-cognitive,science-psychophysics,1,Debian Science packages for Psychophysics
science,neuroscience-cognitive,science-typesetting,1,Debian Science typesetting packages
science,neuroscience-cognitive,slicer,N/A,N/A
science,neuroscience-cognitive,spm8,N/A,N/A
science,neuroscience-cognitive,voxbo,N/A,N/A
science,neuroscience-cognitive,xmedcon,1,"Medical Image (DICOM, ECAT, ...) conversion tool (GUI)"
science,neuroscience-cognitive,xnat,N/A,N/A
science,neuroscience-modeling,cnrun,N/A,N/A
science,neuroscience-modeling,invt,N/A,N/A
science,neuroscience-modeling,moose,N/A,N/A
science,neuroscience-modeling,nest,N/A,N/A
science,neuroscience-modeling,neuron,8,Simulation environment for computational models of neurons
science,neuroscience-modeling,pcsim,N/A,N/A
science,neuroscience-modeling,python3-brian,38,simulator for spiking neural networks
science,neuroscience-modeling,xppaut,4,Phase Plane Plus Auto: Solves many kinds of equations
science,physics,abinit,36,package for electronic structure calculations
science,physics,axiom,ERROR,General purpose computer algebra system: main binary and modules
science,physics,blzpack,N/A,N/A
science,physics,cadabra,650,field-theory motivated computer algebra system
science,physics,cernlib,N/A,N/A
science,physics,clhep,N/A,N/A
science,physics,cp2k,47,Ab Initio Molecular Dynamics
science,physics,drawxtl,3,crystal structure viewer
science,physics,espresso++,N/A,N/A
science,physics,etsf-io,2,"Binary tools to check, merge and read ETSF files"
science,physics,evolver-nox,4,Surface Evolver - with no X support
science,physics,evolver-ogl,4,Surface Evolver - with OpenGL display
science,physics,fdmnes,N/A,N/A
science,physics,feel++-apps,N/A,N/A
science,physics,feynmf,160,set of LaTeX macros for creating Feynman diagrams
science,physics,fityk,7,general-purpose nonlinear curve fitting and data analysis
science,physics,gate,N/A,N/A
science,physics,geant321,N/A,N/A
science,physics,geant4,N/A,N/A
science,physics,gerris,ERROR,Fluid Flow Solver
science,physics,ghkl,5,diffractometer computation control application
science,physics,gpaw,96,DFT and beyond within the projector-augmented wave method
science,physics,gpiv,N/A,N/A
science,physics,gpivtools,N/A,N/A
science,physics,gwyddion,5,Scanning Probe Microscopy visualization and analysis tool
science,physics,jfreemesh,N/A,N/A
science,physics,libroot-math-mlp-dev,N/A,N/A
science,physics,libroot-montecarlo-vmc-dev,N/A,N/A
science,physics,libroot-tmva-dev,N/A,N/A
science,physics,maxima,7,Computer algebra system -- base system
science,physics,meshlab,8,System for processing and editing triangular meshes
science,physics,mpqc,17,Massively Parallel Quantum Chemistry Program
science,physics,oce-draw,47,OpenCASCADE Community Edition CAE platform shared library
science,physics,octaviz,N/A,N/A
science,physics,openctm-tools,1,Tools for compression of 3D triangle meshes
science,physics,openfoam,73,Open source toolbox for Computational Fluid Dynamics (CFD) - binaries
science,physics,openmx,N/A,N/A
science,physics,opticalraytracer,37,Virtual lens/mirror design workshop
science,physics,paw,N/A,N/A
science,physics,paw++,N/A,N/A
science,physics,paw-demos,N/A,N/A
science,physics,psi3,6,Quantum Chemical Program Suite
science,physics,pyfr,67,flux reconstruction in Python
science,physics,pymca,ERROR,Applications and toolkit for X-ray fluorescence analysis -- scripts
science,physics,python3-deap,3,Distributed Evolutionary Algorithms in Python3
science,physics,python3-sympy,5,Computer Algebra System (CAS) in Python (Python 3)
science,physics,quantum-espresso,55,Electronic-Structure and Ab-Initio Molecular Dynamics Suite
science,physics,root-system,N/A,N/A
science,physics,science-electronics,1,Debian Science Electronics transitional package
science,physics,science-mathematics,1,Debian Science Mathematics packages
science,physics,science-statistics,1,Debian Science Statistics packages
science,physics,spis,N/A,N/A
science,physics,tessa,N/A,N/A
science,physics,tessa-mpi,N/A,N/A
science,physics,toulbar2,2,Exact combinatorial optimization for Graphical Models
science,physics,v-sim,2,Visualize atomic structures
science,presentation,dspdfviewer,1,Dual-Screen PDF Viewer for LaTeX-beamer
science,presentation,pdf-presenter-console,29,multi-monitor presentation tool (ala Keynote) for PDF files
science,presentation,texlive-latex-extra,82,TeX Live: LaTeX additional packages
science,presentation,texlive-publishers,71,"TeX Live: Publisher styles, theses, etc."
science,presentation,zathura,1,document viewer with a minimalistic interface
science,psychophysics,octave-psychtoolbox-3,ERROR,toolbox for vision research -- Octave bindings
science,psychophysics,psychopy,ERROR,environment for creating psychology stimuli in Python
science,psychophysics,science-neuroscience-cognitive,1,Debian Science packages for Cognitive Neuroscience
science,psychophysics,visionegg,N/A,N/A
science,robotics,arduino-mk,ERROR,Program your Arduino from the command line
science,robotics,aseba,10,Event-based framework for distributed mobile robots control
science,robotics,choreonoid,N/A,N/A
science,robotics,d-collide,N/A,N/A
